# $Id$
version  2 # of file format

# three-letter-prefix protein accessions (traditionally with five digits)
3+5  AAE  gb_patent_prot
3+5  ??_  unknown # Longer variants (6-9 digits as of June 2018) are RefSeq
3+5  A??  gb_prot
3+7  A??  gb_prot
3+9  A??  gb_prot
3+11 A??  gb_prot
3+5  B??  ddbj_prot
3+7  B??  ddbj_prot
3+9  B??  ddbj_prot
3+11 B??  ddbj_prot
3+5  C??  embl_prot *
3+7  C??  embl_prot *
3+9  C??  embl_prot
3+11 C??  embl_prot
3+5  D??  gb_tpa_prot *
3+7  D??  gb_tpa_prot
3+9  D??  gb_tpa_prot
3+11 D??  gb_tpa_prot
3+5  E??  gb_wgs_prot
3+7  E??  gb_wgsv_prot
3+9  E??  gb_prot
3+11 E??  gb_prot
3+5  F??  ddbj_tpa_prot
3+7  F??  ddbj_tpa_prot
3+9  F??  ddbj_tpa_prot
3+11 F??  ddbj_tpa_prot
3+5  G??  ddbj_wgs_prot
3+7  G??  ddbj_prot
3+9  G??  ddbj_prot
3+11 G??  ddbj_prot
3+5  H??  gb_tpa_wgsv_prot
3+7  H??  gb_tpa_wgsv_prot
3+9  H??  gb_tpa_prot
3+11 H??  gb_tpa_prot
3+5  I??  ddbj_tpa_tsa_prot
3+7  I??  ddbj_tpa_prot
3+9  I??  ddbj_tpa_prot
3+11 I??  ddbj_tpa_prot
3+5  J??  gb_tsa_prot
3+7  J??  gb_prot
3+9  J??  gb_prot
3+11 J??  gb_prot
3+5  K??  gb_wgs_prot
3+7  K??  gb_wgs_prot
3+9  K??  gb_prot
3+11 K??  gb_prot
3+5  L??  ddbj_prot # mixed TSA and TLS
3+7  L??  ddbj_prot
3+9  L??  ddbj_prot
3+11 L??  ddbj_prot
3+5  M??  gb_wgsv_prot
3+7  M??  gb_wgsv_prot
3+9  M??  gb_prot
3+11 M??  gb_prot
3+5  N??  gb_wgsv_prot
3+7  N??  gb_wgsv_prot
3+9  N??  gb_prot
3+11 N??  gb_prot
3+5  O??  gb_wgs_prot
3+7  O??  gb_prot
3+9  O??  gb_prot
3+11 O??  gb_prot
3+5  P??  gb_wgs_prot
3+7  P??  gb_prot
3+9  P??  gb_prot
3+11 P??  gb_prot
3+5  Q??  gb_prot
3+7  Q??  gb_prot
3+9  Q??  gb_prot
3+11 Q??  gb_prot
3+5  R??  gb_wgs_prot
3+7  R??  gb_prot
3+9  R??  gb_prot
3+11 R??  gb_prot
3+5  S??  embl_prot *
3+7  S??  embl_prot
3+9  S??  embl_prot
3+11 S??  embl_prot
3+5  T??  gb_wgs_prot
3+7  T??  gb_prot
3+9  T??  gb_prot
3+11 T??  gb_prot
3+5  U??  gb_prot
3+7  U??  gb_prot
3+9  U??  gb_prot
3+11 U??  gb_prot
3+5  V??  embl_prot *
3+7  V??  embl_prot
3+9  V??  embl_prot
3+11 V??  embl_prot
3+5  W??  gb_prot
3+7  W??  gb_prot
3+9  W??  gb_prot
3+11 W??  gb_prot
3+5  X??  gb_prot
3+7  X??  gb_prot
3+9  X??  gb_prot
3+11 X??  gb_prot
3+5  Y??  gb_prot
3+7  Y??  gb_prot
3+9  Y??  gb_prot
3+11 Y??  gb_prot
3+5  Z??  ddbj_prot # fallback to placate older clients
3+5  Z??  ddbj_patent_prot # some from Korea
3+7  Z??  ddbj_prot # fallback to placate older clients
3+7  Z??  ddbj_patent_prot # some from Korea
3+9  Z??  ddbj_prot
3+11 Z??  ddbj_prot

# Genome pipeline accessions
4+9  GPC_  gpipe_chromosome
4+9  GPG_  gpipe_genomic
4+9  GPM_  gpipe_mrna
4+9  GPN_  gpipe_other_nuc
4+9  GPP_  gpipe_prot
4+9  GPR_  gpipe_ncrna
4+9  GPS_  gpipe_scaffold
4+9  ZPC_  gpipe_chromosome
4+9  ZPG_  gpipe_genomic
4+9  ZPM_  gpipe_mrna
4+9  ZPN_  gpipe_other_nuc
4+9  ZPP_  gpipe_prot
4+9  ZPR_  gpipe_ncrna
4+9  ZPS_  gpipe_scaffold
4+9  GP?_  gpipe_unreserved
4+9  ZP?_  gpipe_unreserved

# whole genome shotgun accessions
4+8   ???_    unknown
4+9   ???_    unknown
4+10  ???_    unknown
4+8   A???    gb_wgs_nuc
4+9   A???    gb_wgs_nuc
4+10  A???    gb_wgs_nuc
4+8   B???    ddbj_wgs_nuc
4+9   B???    ddbj_wgs_nuc
4+10  B???    ddbj_wgs_nuc
4+8   C???    embl_wgs_nuc
4+9   C???    embl_wgs_nuc
4+10  C???    embl_wgs_nuc
